acc,Bacillales,Bacteroidales,Campylobacterales,Chlamydiales,Clostridiales,Enterobacterales,Lactobacillales,Primates,Rodentia,Thermales,class
SRR9160233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
SRR9160234,4.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,1
SRR9160235,11.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1
SRR9160237,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,1
SRR9160240,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,9.0,0.0,1
SRR9160241,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1
SRR9160242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1
SRR9160245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
SRR9160247,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SRR9160251,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SRR9160252,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SRR9160257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
SRR9160259,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR9160260,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR9160270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
SRR9160273,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SRR9160285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
SRR9160294,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
SRR9160300,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1
SRR9160301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1
SRR9160302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1
SRR9160307,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR9160311,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0
SRR9160317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
SRR9160318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
SRR9160319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,2.0,1
SRR9160323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1
SRR9160324,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1
SRR9160327,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1
SRR9160333,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR9160340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
SRR9160341,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1
SRR9160344,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1
SRR9160345,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
SRR9160356,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1
SRR9160357,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1
